  time  amplitude  omega  amp_cos  amp_sin
   4.35042E+02   1.81378E-03   3.27260E-01  -6.94586E-04   1.67551E-03
   4.38825E+02   1.86664E-03   3.25293E-01  -1.86404E-03  -9.84530E-05
   4.42608E+02   1.93099E-03   3.27549E-01  -5.31631E-04  -1.85636E-03
   4.46391E+02   1.97212E-03   3.27417E-01   1.61520E-03  -1.13155E-03
   4.50174E+02   2.02156E-03   3.30613E-01   1.62197E-03   1.20661E-03
   4.53957E+02   2.05253E-03   3.29094E-01  -6.33474E-04   1.95232E-03
   4.57740E+02   2.07312E-03   3.30337E-01  -2.07307E-03   1.53121E-05
   4.61523E+02   2.09644E-03   3.28256E-01  -6.92010E-04  -1.97893E-03
   4.65306E+02   2.11213E-03   3.34354E-01   1.69117E-03  -1.26532E-03
   4.69089E+02   2.11424E-03   3.29632E-01   1.73939E-03   1.20188E-03
   4.72872E+02   2.11049E-03   3.33330E-01  -6.13252E-04   2.01943E-03
   4.76655E+02   2.09338E-03   3.34418E-01  -2.09326E-03   2.27682E-05
   4.80437E+02   2.06553E-03   3.32284E-01  -6.58861E-04  -1.95763E-03
   4.84220E+02   2.04105E-03   3.34068E-01   1.64720E-03  -1.20525E-03
   4.88003E+02   2.01124E-03   3.36093E-01   1.61350E-03   1.20070E-03
   4.91786E+02   1.95404E-03   3.37596E-01  -6.62823E-04   1.83819E-03
   4.95569E+02   1.92745E-03   3.38288E-01  -1.92453E-03  -1.05976E-04
   4.99352E+02   1.86976E-03   3.39832E-01  -4.26649E-04  -1.82043E-03
   5.03135E+02   1.80836E-03   3.40102E-01   1.57433E-03  -8.89755E-04
   5.06918E+02   1.76840E-03   3.38614E-01   1.27379E-03   1.22666E-03
   5.10701E+02   1.69467E-03   3.37998E-01  -7.74124E-04   1.50752E-03
   5.14484E+02   1.65935E-03   3.36330E-01  -1.63374E-03  -2.90416E-04
   5.18267E+02   1.61795E-03   3.40011E-01  -1.75397E-04  -1.60842E-03
   5.22050E+02   1.55475E-03   3.38394E-01   1.43245E-03  -6.04417E-04
   5.25833E+02   1.50550E-03   3.42502E-01   9.40078E-04   1.17591E-03
   5.29616E+02   1.42641E-03   3.36801E-01  -8.05065E-04   1.17750E-03
   5.33399E+02   1.34536E-03   3.36767E-01  -1.28411E-03  -4.01295E-04
   5.37182E+02   1.28942E-03   3.34654E-01  -2.47362E-06  -1.28942E-03
   5.40965E+02   1.20981E-03   3.34586E-01   1.15325E-03  -3.65588E-04
   5.44748E+02   1.16005E-03   3.33723E-01   6.69602E-04   9.47285E-04
   5.48531E+02   1.07886E-03   3.34341E-01  -6.52470E-04   8.59202E-04
   5.52314E+02   1.00519E-03   3.31950E-01  -9.49495E-04  -3.29948E-04
   5.56097E+02   9.32597E-04   3.30709E-01   1.37196E-05  -9.32496E-04
   5.59880E+02   8.52435E-04   3.34445E-01   8.16624E-04  -2.44481E-04
   5.63663E+02   7.75308E-04   3.32506E-01   4.40216E-04   6.38211E-04
   5.67446E+02   6.84972E-04   3.25351E-01  -4.01869E-04   5.54696E-04
   5.71229E+02   5.96677E-04   3.37766E-01  -5.63717E-04  -1.95567E-04
   5.75012E+02   5.57681E-04   3.26514E-01  -9.31400E-07  -5.57680E-04
   5.78795E+02   4.63558E-04   3.45029E-01   4.47105E-04  -1.22409E-04
   5.82578E+02   4.01380E-04   3.53638E-01   1.92511E-04   3.52200E-04
   5.86361E+02   3.22089E-04   3.57471E-01  -2.42421E-04   2.12070E-04
   5.90144E+02   2.32157E-04   3.74105E-01  -1.78085E-04  -1.48939E-04
   5.93927E+02   1.88781E-04   4.00054E-01   1.12604E-04  -1.51521E-04
   5.97710E+02   1.33151E-04   4.40110E-01   9.89332E-05   8.91153E-05
   6.01493E+02   1.52367E-04   5.05668E-01  -1.34047E-04   7.24362E-05
   6.05276E+02   1.73615E-04   4.26803E-01  -7.57725E-05  -1.56207E-04
   6.09059E+02   2.51316E-04   4.06694E-01   2.22458E-04  -1.16926E-04
   6.12842E+02   2.78433E-04   3.76430E-01   1.64194E-04   2.24868E-04
   6.16624E+02   3.20573E-04   3.28991E-01  -1.84661E-04   2.62044E-04
   6.20407E+02   3.57135E-04   3.39289E-01  -3.38257E-04  -1.14576E-04
   6.24190E+02   3.91584E-04   3.16815E-01  -1.78890E-05  -3.91175E-04
   6.27973E+02   4.19101E-04   3.24806E-01   3.87985E-04  -1.58470E-04
   6.31756E+02   4.45467E-04   3.15165E-01   3.08920E-04   3.20951E-04
   6.35539E+02   4.44686E-04   3.16982E-01  -1.86522E-04   4.03677E-04
   6.39322E+02   4.41587E-04   2.96887E-01  -4.41539E-04   6.55523E-06
   6.43105E+02   4.50159E-04   3.10918E-01  -1.79210E-04  -4.12949E-04
   6.46888E+02   4.35833E-04   2.93927E-01   2.81593E-04  -3.32650E-04
   6.50671E+02   4.47653E-04   3.05359E-01   4.29364E-04   1.26650E-04
   6.54454E+02   4.29297E-04   3.03163E-01   5.86735E-05   4.25269E-04
   6.58237E+02   4.07860E-04   2.89759E-01  -3.33892E-04   2.34234E-04
   6.62020E+02   4.24356E-04   2.97903E-01  -3.69270E-04  -2.09088E-04
   6.65803E+02   3.94091E-04   3.05677E-01   3.96504E-05  -3.92092E-04
   6.69586E+02   3.61701E-04   2.92430E-01   3.38034E-04  -1.28689E-04
   6.73369E+02   3.40277E-04   3.03081E-01   2.41239E-04   2.39984E-04
   6.77152E+02   2.85622E-04   2.71607E-01  -6.77472E-05   2.77471E-04
   6.80935E+02   2.64696E-04   2.72484E-01  -2.52833E-04   7.83549E-05
   6.84718E+02   2.60302E-04   2.69611E-01  -1.95797E-04  -1.71524E-04
   6.88501E+02   2.38144E-04   2.77925E-01   4.73114E-05  -2.33397E-04
   6.92284E+02   2.30457E-04   2.77051E-01   2.18560E-04  -7.30895E-05
   6.96067E+02   2.17909E-04   2.38084E-01   1.82518E-04   1.19044E-04
   6.99850E+02   2.22163E-04   3.02268E-01  -3.33358E-05   2.19648E-04
   7.03633E+02   2.55167E-04   2.75520E-01  -2.37163E-04   9.41470E-05
   7.07416E+02   2.32191E-04   3.09813E-01  -1.62745E-04  -1.65610E-04
   7.11199E+02   2.24908E-04   3.14143E-01   9.00050E-05  -2.06114E-04
   7.14982E+02   2.12076E-04   2.79480E-01   2.10978E-04  -2.15545E-05
   7.18765E+02   1.80345E-04   2.99281E-01   9.27890E-05   1.54643E-04
   7.22548E+02   1.80145E-04   2.85653E-01  -9.26470E-05   1.54495E-04
   7.26331E+02   1.64432E-04   2.77052E-01  -1.64407E-04  -2.87152E-06
   7.30114E+02   1.62954E-04   2.75453E-01  -7.97353E-05  -1.42114E-04
   7.33897E+02   1.72828E-04   2.83926E-01   9.22110E-05  -1.46173E-04
   7.37680E+02   1.82674E-04   3.12416E-01   1.79920E-04   3.15977E-05
   7.41463E+02   1.91988E-04   3.20541E-01   3.51929E-05   1.88735E-04
   7.45246E+02   1.83654E-04   3.12469E-01  -1.54312E-04   9.95818E-05
   7.49029E+02   1.90410E-04   3.46331E-01  -1.40987E-04  -1.27980E-04
   7.52812E+02   1.77577E-04   3.10791E-01   5.95527E-05  -1.67293E-04
   7.56594E+02   1.46189E-04   3.04777E-01   1.45769E-04  -1.10767E-05
   7.60377E+02   1.51813E-04   2.81201E-01   8.35602E-05   1.26747E-04
   7.64160E+02   1.35472E-04   2.38411E-01  -4.24914E-05   1.28636E-04
